"","name","homicide_rate","gdp","urban_population_growth","pop_growth","internet_users","gdp_per_capita","refugees"
"1","Afghanistan",6.7,20514,4,2.5,13.5,551.9,2826.4
"2","Albania",2.3,15059,1.8,-0.1,71.8,5223.8,4.3
"3","Algeria",1.4,173757,2.9,2,49,4114.7,99.5
"4","Andorra",0,3238,-1.7,-0.2,91.6,42051.6,NA
"5","Angola",4.8,105902,4.7,3.3,14.3,3437.3,70.1
"6","Antigua And Barbuda",11.1,1611,0.1,0.9,76,16727,0.2
"7","Argentina",5.3,518475,1.2,1,74.3,11687.6,165.6
"8","Armenia",1.7,12433,0.2,0.3,64.7,4212.1,19
"9","Australia",0.9,1453871,1.6,1.3,86.5,58392.7,129.2
"10","Austria",1,455508,0.7,0.7,87.5,51230.3,163.7
"11","Azerbaijan",2.2,46939,1.7,1,79.8,4717.7,625.2
"12","Bahamas",32,12424,1.5,1,85,32218.1,0
"13","Bahrain",0.5,37876,2.1,4.3,98.6,24133.5,0.3
"14","Bangladesh",2.4,269628,3.5,1.1,15,1670.8,911.8
"15","Barbados",9.8,5087,-0.1,0.1,81.8,17745.9,0
"16","Belarus",2.4,59662,0.7,0,79.1,6311.7,8.6
"17","Belgium",1.7,543026,0.7,0.5,88.7,47293,83.5
"18","Belize",37.8,1871,2.3,1.9,47.1,4884.7,6.5
"19","Benin",1.1,10412,4,2.7,20,906.5,1.6
"20","Bhutan",1.2,2658,3.7,1.2,48.1,3523.8,NA
"21","Bolivia, Plurinational State Of",6.2,40288,2.1,1.4,44.3,3548.6,0.9
"22","Bosnia And Herzegovina",1.2,19782,-0.3,-0.9,70.1,5951.4,151.7
"23","Botswana",15.2,18615,3.3,2.1,47,8258.2,2.3
"24","Brazil",27.4,1868613,1.2,0.8,70.4,8920.7,271.6
"25","Brunei Darussalam",0.5,13567,1.9,1.1,94.9,31627.2,20.9
"26","Bulgaria",1.3,66199,-0.2,-0.7,64.8,9387.8,21.2
"27","Burkina Faso",1.3,16200,5.2,2.9,16,820.2,196.3
"28","Burundi",6.1,3285,5.6,3.1,2.7,294,121.2
"29","Cape Verde",6.8,1977,2,1.2,57.2,3635.4,0.1
"30","Cambodia",1.8,24572,3.4,1.5,40,1512.1,57.4
"31","Cameroon",1.4,38694,3.8,2.6,23.2,1534.5,1463.2
"32","Canada",1.8,1712562,1.1,0.9,91,46192.4,189.8
"33","Central African Republic",20.1,2243,1.1,1.4,4.3,480.7,712.6
"34","Chile",4.4,298231,1,1.2,82.3,15923.4,385.5
"35","China",0.5,13608152,2.9,0.5,54.3,9531.9,322.4
"36","Colombia",25.3,330228,1.4,1.4,64.1,6649.6,9717.2
"37","Costa Rica",11.3,60126,2.5,1,74.1,12026.5,79.2
"38","Croatia",0.6,60991,-0.1,-0.6,75.3,14674,8.3
"39","Cuba",5,100023,0.3,0,57.1,8821.8,0.3
"40","Cyprus",1.3,24963,0.7,0.8,84.4,28967.6,33.3
"41","Czech Republic",0.6,245226,0.2,0.2,80.7,22992.1,5.7
"42","Denmark",1,355675,0.6,0.4,97.3,61833.7,47.4
"43","Dominica",26.6,551,0.9,0.5,69.6,7691.3,NA
"44","Dominican Republic",10,81299,2.5,1.1,74.8,7650.1,28.9
"45","Timor-Leste",4.1,2581,3.5,1.9,27.5,2035.5,0
"46","Ecuador",5.8,108398,1.8,1.7,57.3,6344.9,420.5
"47","Egypt",2.6,249751,2.1,2,46.9,2537.5,319.5
"48","El Salvador",52,26057,1.7,0.5,33.8,4058.2,75.3
"49","Estonia",2.1,30747,-0.2,0.2,89.4,23241.9,77
"50","Swaziland",11.6,4711,2.6,1,47,4145.7,1.8
"51","Ethiopia",8.8,80292,4.9,2.6,18.6,735.1,5444.5
"52","Fiji",2.3,5537,1.7,0.6,50,6267,0
"53","Finland",1.6,276878,0.8,0.2,88.9,50135.7,35
"54","France",1.2,2778892,0.8,0.3,82,41358.1,473.4
"55","Georgia",2.2,17600,-0.7,-0.2,62.7,4396.7,287.4
"56","Germany",0.9,3949549,0.3,0.5,89.7,47513.7,1461
"57","Ghana",2.1,65535,3.6,2.2,39,2201.6,13.4
"58","Greece",0.9,218139,0.1,-0.4,73,20731.2,147.1
"59","Grenada",10.8,1169,0.5,0.5,59.1,10485.9,0
"60","Guatemala",22.5,78461,2.7,1.9,65,4549,146.8
"61","Guinea-Bissau",1.1,1459,3.6,2.5,3.9,778.4,1.9
"62","Guyana",14.2,3818,0.4,0.5,37.3,4900.8,36.5
"63","Haiti",6.7,9287,3.3,1.3,32.5,834.9,3
"64","Honduras",38.9,23970,3,1.7,31.7,2500.1,251.6
"65","Hungary",2.5,157883,0.2,-0.2,76.1,16264,6.4
"66","Iceland",0.9,25882,0.6,0.7,99,76867.3,1.2
"67","India",3.1,2779352,2.4,1,34.4,2054.8,206.6
"68","Indonesia",0.4,1042173,2.6,1.1,39.9,3893.5,14
"69","Iran, Islamic Republic Of",2.5,473091,2,1.4,70,5783.5,979.5
"70","Iraq",10.1,212272,3.4,2.5,75,5523.1,2132.4
"71","Ireland",0.9,382674,0.6,1.2,84.5,79414.6,14.4
"72","Israel",1.5,370588,1.7,1.6,83.7,44214.9,55.1
"73","Italy",0.6,2084882,0.3,0,74.4,34388.5,261.4
"74","Jamaica",43.9,15714,0.8,0.5,55.1,5354.3,0
"75","Japan",0.3,4971323,0,-0.2,91.3,39082.1,31.5
"76","Jordan",1.4,42231,5.8,1.9,66.8,4237.8,756.1
"77","Kazakhstan",5.1,179340,1.7,1.3,78.9,9789.5,8.9
"78","Kenya",4.9,87906,4.4,2.3,17.8,1710.5,492.5
"79","Kiribati",7.5,189,3.5,1.5,14.6,1627.4,NA
"80","Korea, Republic Of",0.6,1720489,0.3,0.2,96,33621.9,27.7
"81","Kuwait",1.8,141698,5.4,2.1,99.6,34248.8,93.7
"82","Kyrgyzstan",2.2,8093,1.8,1.8,38,1283.8,0.6
"83","Latvia",4.4,34426,-1.2,-1.1,83.6,17851.6,225.5
"84","Lebanon",2.5,56409,6.2,0.9,78.2,8223.7,949.6
"85","Lesotho",43.6,2631,2.9,0.8,29,1248,0.1
"86","Liberia",3.3,2122,3.4,2.5,8,440.3,8.8
"87","Liechtenstein",2.6,6796,0.5,0.7,98.1,179258.2,0.2
"88","Lithuania",4.6,53455,-1.1,-1.5,79.7,19082.5,5.1
"89","Luxembourg",0.3,70920,2.6,2,97.1,117369.5,5.7
"90","Malawi",1.8,7196,3.9,2.7,13.8,396.6,39.3
"91","Malaysia",2.1,358579,2.7,1.3,81.2,11373.3,266.5
"92","Maldives",0.7,5327,3.9,3.4,63.2,10330.6,NA
"93","Malta",1.6,14549,0.6,0.4,81.7,33122.8,10.7
"94","Turkey",2.6,771355,2.4,1.4,71,9367.9,3940.1
"95","Mexico",29.1,1223401,1.8,1.1,65.8,9694.9,302.1
"96","Moldova, Republic Of",4.1,11309,-0.2,-0.2,76.1,2791,4.2
"97","Monaco",0,7188,0.6,0.5,97.1,185835,0
"98","Mongolia",6.2,13010,2.1,1.8,47.2,4103.7,0.1
"99","Montenegro",2.2,5507,0.6,0,71.5,8771.7,13.6
"100","Morocco",1.4,117921,2.4,1.3,64.8,3272.9,9.1
"101","Mozambique",3.5,14717,4.5,2.9,10,498.9,25.1
"102","Myanmar",2.3,72745,1.5,0.6,30.7,1354.4,883.5
"103","Namibia",17.7,14519,4.6,1.9,51,5930.1,4.3
"104","Nepal",2.3,27830,3.2,1.5,34,990.6,19.3
"105","Netherlands",0.6,914105,1,0.2,94.7,53583.1,109.1
"106","New Zealand",0.7,207921,1.1,0.9,90.8,43836.2,2.6
"107","Nicaragua",7.2,13118,1.5,1.2,27.9,2028.9,0.8
"108","Niger",4.4,12821,3.9,3.8,5.3,571.3,411.2
"109","Nigeria",34.5,421821,4.6,2.6,42,2153.5,2211.1
"110","Macedonia, The Former Yugoslav Republic Of",1.2,12629,0.2,0,79.2,6062.9,17.6
"111","Oman",0.3,92111,8,3.6,80.2,19072.8,0.6
"112","Pakistan",3.9,282346,2.7,2,15.5,1330.4,1518.4
"113","Palau",11.2,284,1.7,1.1,NA,15859.4,0
"114","Panama",9.4,65055,2.2,1.7,57.9,15575.1,113.5
"115","Papua New Guinea",9.8,23077,2.2,2,11.2,2681.4,9.9
"116","Paraguay",7.1,40307,1.8,1.3,65,5794.6,4.3
"117","Peru",7.9,222237,1.6,1.6,52.5,6947.3,860.1
"118","Philippines",6.5,330910,2.1,1.4,60.1,3102.7,226.8
"119","Poland",0.7,585661,-0.2,-0.1,77.5,15444,26.5
"120","Portugal",0.8,240792,0.5,-0.3,74.7,23477.7,3
"121","Qatar",0.4,191362,6.7,2.3,99.7,68793.7,1.5
"122","Romania",1.3,239552,-0.5,-0.7,70.7,12280.8,4.8
"123","Russian Federation",8.2,1660514,0.2,0.1,80.9,11394.1,135.5
"124","Rwanda",2.6,9510,2.6,2.6,21.8,773,150.1
"125","Saint Kitts And Nevis",36.1,1011,0.8,0.9,80.7,19275.4,0
"126","Saint Lucia",21.4,1922,0.6,0.5,50.8,10566,0
"127","Saint Vincent And The Grenadines",36.5,811,0.8,0.3,22.4,7361.3,NA
"128","Samoa",3.1,833,-0.4,0.5,33.6,4249.6,0
"129","San Marino",0,1638,1.4,0.5,60.2,48472.7,NA
"130","Sao Tome And Principe",3.3,411,3.8,1.9,29.9,1948.1,NA
"131","Saudi Arabia",1.3,782483,3.1,1.9,93.3,23217.2,72.5
"132","Senegal",0.3,23809,3.9,2.8,46,1501.7,16.2
"133","Serbia",1.2,50597,-0.1,-0.3,73.4,7208.8,250.7
"134","Seychelles",12.5,1590,1.3,0.7,58.8,16377.9,0
"135","Sierra Leone",1.7,4101,3.3,2.1,9,536.1,0.4
"136","Singapore",0.2,361115,1.7,0.9,88.2,62720.9,1.3
"137","Slovakia",1.1,105956,-0.2,0.1,80.7,19430.8,2.5
"138","Slovenia",0.5,54034,0.7,0.1,79.8,26005.1,1.2
"139","Solomon Islands",3.8,1271,4.3,2.6,11.9,1946.9,0
"140","South Africa",36.4,368094,2.2,1.4,56.2,6369.2,273.5
"141","South Sudan",14.9,8207,4.4,0.9,8,747.7,2189.6
"142","Spain",0.6,1419735,0.1,0,86.1,30405.8,149.1
"143","Sri Lanka",2.4,88942,0.5,0.5,34.1,4189.7,37.6
"144","Sudan",5.1,50515,2.8,2.4,30.9,1208.4,2974.1
"145","Suriname",5.4,3458,0.9,1,48.9,6003.7,0.4
"146","Sweden",1.1,556086,1.1,0.7,92.1,55766.8,310.4
"147","Switzerland",0.6,705141,1.2,0.8,89.7,82708.5,120.1
"148","Syrian Arab Republic",0.9,16628,-3.6,-0.6,34.3,981.3,6386.7
"149","Tajikistan",1.6,7523,2.4,2.4,22,826.6,11.3
"150","Tanzania, United Republic Of",6.5,57145,5.5,3,25,1044.1,320.3
"151","Thailand",2.6,504992,2.1,0.3,56.8,7273.6,576.9
"152","Tonga",1,504,0.3,1,41.2,4885.8,0
"153","Trinidad And Tobago",30.6,23808,0.2,0.4,77.3,17130.3,43
"154","Tunisia",3.1,39895,1.6,1.1,64.2,3449.6,2
"155","Turkmenistan",4.2,40749,2.5,1.6,21.3,6964.6,5.2
"156","Tuvalu",18.6,46,2.6,0.9,49.3,4000.6,NA
"157","Uganda",10.5,30098,6,3.6,23.7,704.4,2445.8
"158","Ukraine",6.2,130832,-0.4,-0.5,62.6,2956.9,1540.4
"159","United Arab Emirates",0.5,414179,2.4,1.3,98.4,43005,8.7
"160","United Kingdom",1.2,2855297,1,0.6,94.9,42526.4,176.7
"161","United States",5,20580223,0.9,0.6,87.3,62917.9,1043.2
"162","Uruguay",12.1,59597,0.5,0.4,74.8,17278.1,21.5
"163","Uzbekistan",1.1,50500,1.5,1.6,55.2,1555,95.9
"164","Holy See (Vatican City State)",0,NA,0.2,0.1,NA,NA,NA
"165","Venezuela, Bolivarian Republic Of",36.7,208338,1.4,-1.1,72,7212.2,452.6
"166","Viet Nam",1.5,244901,3.2,1,70.3,2563.2,34.1
"167","Yemen",6.8,26672,4.4,2.4,26.7,935.9,3922.9
"168","Zambia",5.4,27283,4.3,2.9,14.3,1572.3,81.8
"169","Zimbabwe",7.5,24312,1.8,1.5,27.1,1683.8,20.8
